Date,Day,Time (ET),International
2025-10-05,Sunday,1:00p,No
2025-10-05,Sunday,4:05p,No
2025-10-05,Sunday,4:05p,No
2025-10-05,Sunday,4:25p,No
2025-10-05,Sunday,4:25p,No
2025-10-05,Sunday,8:20p,No
2025-10-06,Monday,8:15p,No
2025-10-09,Thursday,8:15p,No
2025-10-12,Sunday,9:30a,Yes
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,1:00p,No
2025-10-12,Sunday,4:05p,No
2025-10-12,Sunday,4:25p,No
2025-10-12,Sunday,4:25p,No
2025-10-12,Sunday,8:20p,No
2025-10-13,Monday,7:15p,No
2025-10-13,Monday,8:15p,No
2025-10-16,Thursday,8:15p,No
2025-10-19,Sunday,9:30a,Yes
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,1:00p,No
2025-10-19,Sunday,4:05p,No
2025-10-19,Sunday,4:05p,No
2025-10-19,Sunday,4:25p,No
2025-10-19,Sunday,4:25p,No
2025-10-19,Sunday,8:20p,No
2025-10-20,Monday,7:00p,No
2025-10-20,Monday,10:00p,No
2025-10-23,Thursday,8:15p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,1:00p,No
2025-10-26,Sunday,4:05p,No
2025-10-26,Sunday,4:25p,No
2025-10-26,Sunday,4:25p,No
2025-10-26,Sunday,8:20p,No
2025-10-27,Monday,8:15p,No
2025-10-30,Thursday,8:15p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,1:00p,No
2025-11-02,Sunday,4:05p,No
2025-11-02,Sunday,4:05p,No
2025-11-02,Sunday,4:25p,No
2025-11-02,Sunday,8:20p,No
2025-11-03,Monday,8:15p,No
2025-11-06,Thursday,8:15p,No
2025-11-09,Sunday,9:30a,Yes
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,1:00p,No
2025-11-09,Sunday,4:05p,No
2025-11-09,Sunday,4:25p,No
2025-11-09,Sunday,4:25p,No
2025-11-09,Sunday,8:20p,No
2025-11-10,Monday,8:15p,No
2025-11-13,Thursday,8:15p,No
2025-11-16,Sunday,9:30a,Yes
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,1:00p,No
2025-11-16,Sunday,4:05p,No
2025-11-16,Sunday,4:05p,No
2025-11-16,Sunday,4:25p,No
2025-11-16,Sunday,4:25p,No
2025-11-16,Sunday,8:20p,No
2025-11-17,Monday,8:15p,No
2025-11-20,Thursday,8:15p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,1:00p,No
2025-11-23,Sunday,4:05p,No
2025-11-23,Sunday,4:05p,No
2025-11-23,Sunday,4:25p,No
2025-11-23,Sunday,4:25p,No
2025-11-23,Sunday,8:20p,No
2025-11-24,Monday,8:15p,No
2025-11-27,Thursday,1:00p,No
2025-11-27,Thursday,4:30p,No
2025-11-27,Thursday,8:20p,No
2025-11-28,Friday,3:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,1:00p,No
2025-11-30,Sunday,4:05p,No
2025-11-30,Sunday,4:25p,No
2025-11-30,Sunday,4:25p,No
2025-11-30,Sunday,8:20p,No
2025-12-01,Monday,8:15p,No
2025-12-04,Thursday,8:15p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,1:00p,No
2025-12-07,Sunday,4:05p,No
2025-12-07,Sunday,4:25p,No
2025-12-07,Sunday,4:25p,No
2025-12-07,Sunday,8:20p,No
2025-12-08,Monday,8:15p,No
2025-12-11,Thursday,8:15p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,1:00p,No
2025-12-14,Sunday,4:25p,No
2025-12-14,Sunday,4:25p,No
2025-12-14,Sunday,4:25p,No
2025-12-14,Sunday,4:25p,No
2025-12-14,Sunday,4:25p,No
2025-12-14,Sunday,8:20p,No
2025-12-15,Monday,8:15p,No
2025-12-18,Thursday,8:15p,No
2025-12-20,Saturday,8:20p,No
2025-12-20,Saturday,5:00p,No
2025-12-21,Sunday,8:20p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,1:00p,No
2025-12-21,Sunday,4:05p,No
2025-12-21,Sunday,4:05p,No
2025-12-21,Sunday,4:25p,No
2025-12-21,Sunday,4:25p,No
2025-12-21,Sunday,1:00p,No
2025-12-22,Monday,8:15p,No
2025-12-25,Thursday,1:00p,No
2025-12-25,Thursday,4:30p,No
2025-12-25,Thursday,8:15p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,1:00p,No
2025-12-27,Saturday,8:00p,No
2025-12-27,Saturday,4:30p,No
2025-12-28,Sunday,4:05p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,1:00p,No
2025-12-28,Sunday,4:25p,No
2025-12-28,Sunday,8:20p,No
2025-12-29,Monday,8:15p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,1:00p,No
2026-01-04,Sunday,4:25p,No
2026-01-04,Sunday,8:20p,No
2026-01-03,Saturday,8:00p,No
2026-01-03,Saturday,4:30p,No
